127.0.0.1, 2014-06-19 09:50:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:50:53, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-19 09:50:54, GET, /py2manager/user/login, HTTP/1.1, 404, 0.040000
127.0.0.1, 2014-06-19 09:50:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-19 09:50:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:50:56, GET, /py2manager/default/index, HTTP/1.1, 200, 0.072000
127.0.0.1, 2014-06-19 09:51:02, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.043000
127.0.0.1, 2014-06-19 09:51:07, GET, /py2manager/user/login, HTTP/1.1, 404, 0.025000
127.0.0.1, 2014-06-19 09:51:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:51:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-19 09:51:13, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2014-06-19 09:51:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.039000
127.0.0.1, 2014-06-19 09:51:16, GET, /admin/default/index, HTTP/1.1, 303, 0.014000
127.0.0.1, 2014-06-19 09:51:16, GET, /admin/default/site, HTTP/1.1, 200, 0.064000
127.0.0.1, 2014-06-19 09:51:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:51:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:51:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:51:18, GET, /py2manager/default/index, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-06-19 09:51:26, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.039000
127.0.0.1, 2014-06-19 09:51:31, GET, /py2manager/user/login, HTTP/1.1, 404, 0.025000
127.0.0.1, 2014-06-19 09:51:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:51:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:59:51, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2014-06-19 09:59:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.068000
127.0.0.1, 2014-06-19 09:59:57, GET, /admin/default/index, HTTP/1.1, 303, 0.014000
127.0.0.1, 2014-06-19 09:59:57, GET, /admin/default/site, HTTP/1.1, 200, 0.060000
127.0.0.1, 2014-06-19 09:59:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:59:58, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-19 09:59:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 09:59:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 10:00:00, GET, /py2manager/default/index, HTTP/1.1, 200, 0.050000
127.0.0.1, 2014-06-19 10:00:06, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.040000
127.0.0.1, 2014-06-19 10:00:13, GET, /py2manager/user/login, HTTP/1.1, 404, 0.025000
127.0.0.1, 2014-06-19 10:00:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 10:00:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 10:01:00, GET, /user/login, HTTP/1.1, 404, 0.002000
127.0.0.1, 2014-06-19 10:01:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 10:01:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 10:01:12, GET, /user/login, HTTP/1.1, 404, 0.002000
127.0.0.1, 2014-06-19 10:01:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 10:01:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 10:01:35, GET, /py2manager/user/login, HTTP/1.1, 404, 0.030000
127.0.0.1, 2014-06-19 10:01:35, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-19 10:01:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 10:01:41, GET, /default/user/login, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-06-19 10:01:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-19 10:01:41, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-19 10:01:56, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.058000
127.0.0.1, 2014-06-19 10:01:56, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-19 10:01:56, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 200, 0.000000
